127.0.0.1 - - [18/Jun/2023:22:06:56 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [18/Jun/2023:22:34:14 -0300] "GET /Farmacia/ HTTP/1.1" 404 969
0:0:0:0:0:0:0:1 - - [18/Jun/2023:22:34:42 -0300] "GET /Farmacia/faces/templates/modeloSistema.xhtml HTTP/1.1" 200 2329
0:0:0:0:0:0:0:1 - - [18/Jun/2023:22:34:42 -0300] "GET /Farmacia/faces/templates/RES_NOT_FOUND HTTP/1.1" 500 2788
0:0:0:0:0:0:0:1 - - [18/Jun/2023:22:34:42 -0300] "GET /Farmacia/faces/javax.faces.resource/theme.css?ln=primefaces-aristo HTTP/1.1" 200 28107
0:0:0:0:0:0:0:1 - - [18/Jun/2023:22:34:42 -0300] "GET /Farmacia/faces/javax.faces.resource/primefaces.css;jsessionid=2608038C451147E35FA1E4F41BE128AD?ln=primefaces&v=4.0 HTTP/1.1" 200 53386
0:0:0:0:0:0:0:1 - - [18/Jun/2023:22:34:42 -0300] "GET /Farmacia/faces/javax.faces.resource/layout/layout.css;jsessionid=2608038C451147E35FA1E4F41BE128AD?ln=primefaces&v=4.0 HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [18/Jun/2023:22:34:42 -0300] "GET /Farmacia/faces/javax.faces.resource/jquery/jquery-plugins.js;jsessionid=2608038C451147E35FA1E4F41BE128AD?ln=primefaces&v=4.0 HTTP/1.1" 200 220747
0:0:0:0:0:0:0:1 - - [18/Jun/2023:22:34:42 -0300] "GET /Farmacia/faces/javax.faces.resource/primefaces.js;jsessionid=2608038C451147E35FA1E4F41BE128AD?ln=primefaces&v=4.0 HTTP/1.1" 200 277201
0:0:0:0:0:0:0:1 - - [18/Jun/2023:22:34:42 -0300] "GET /Farmacia/faces/javax.faces.resource/jquery/jquery.js;jsessionid=2608038C451147E35FA1E4F41BE128AD?ln=primefaces&v=4.0 HTTP/1.1" 200 105493
0:0:0:0:0:0:0:1 - - [18/Jun/2023:22:34:42 -0300] "GET /Farmacia/faces/templates/RES_NOT_FOUND HTTP/1.1" 500 2005
0:0:0:0:0:0:0:1 - - [18/Jun/2023:22:34:42 -0300] "GET /Farmacia/faces/javax.faces.resource/layout/layout.js;jsessionid=2608038C451147E35FA1E4F41BE128AD?ln=primefaces&v=4.0 HTTP/1.1" 200 87653
0:0:0:0:0:0:0:1 - - [18/Jun/2023:22:35:10 -0300] "GET /Farmacia/faces/templates/modeloSistema.xhtml HTTP/1.1" 200 2329
0:0:0:0:0:0:0:1 - - [18/Jun/2023:22:35:10 -0300] "GET /Farmacia/faces/templates/RES_NOT_FOUND HTTP/1.1" 500 2005
0:0:0:0:0:0:0:1 - - [18/Jun/2023:22:35:10 -0300] "GET /Farmacia/faces/javax.faces.resource/jquery/jquery.js;jsessionid=F78EC76A37F4DDCE8681BF9034AAD86C?ln=primefaces&v=4.0 HTTP/1.1" 200 105493
0:0:0:0:0:0:0:1 - - [18/Jun/2023:22:35:10 -0300] "GET /Farmacia/faces/javax.faces.resource/theme.css?ln=primefaces-aristo HTTP/1.1" 200 28107
0:0:0:0:0:0:0:1 - - [18/Jun/2023:22:35:10 -0300] "GET /Farmacia/faces/javax.faces.resource/jquery/jquery-plugins.js;jsessionid=F78EC76A37F4DDCE8681BF9034AAD86C?ln=primefaces&v=4.0 HTTP/1.1" 200 220747
0:0:0:0:0:0:0:1 - - [18/Jun/2023:22:35:10 -0300] "GET /Farmacia/faces/javax.faces.resource/primefaces.js;jsessionid=F78EC76A37F4DDCE8681BF9034AAD86C?ln=primefaces&v=4.0 HTTP/1.1" 200 277201
0:0:0:0:0:0:0:1 - - [18/Jun/2023:22:35:10 -0300] "GET /Farmacia/faces/javax.faces.resource/primefaces.css;jsessionid=F78EC76A37F4DDCE8681BF9034AAD86C?ln=primefaces&v=4.0 HTTP/1.1" 200 53386
0:0:0:0:0:0:0:1 - - [18/Jun/2023:22:35:10 -0300] "GET /Farmacia/faces/javax.faces.resource/layout/layout.css;jsessionid=F78EC76A37F4DDCE8681BF9034AAD86C?ln=primefaces&v=4.0 HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [18/Jun/2023:22:35:10 -0300] "GET /Farmacia/faces/javax.faces.resource/layout/layout.js;jsessionid=F78EC76A37F4DDCE8681BF9034AAD86C?ln=primefaces&v=4.0 HTTP/1.1" 200 87653
0:0:0:0:0:0:0:1 - - [18/Jun/2023:22:35:10 -0300] "GET /Farmacia/faces/templates/RES_NOT_FOUND HTTP/1.1" 500 2005
0:0:0:0:0:0:0:1 - - [18/Jun/2023:22:35:10 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [18/Jun/2023:22:41:17 -0300] "GET /Farmacia/faces/pages/menu.xhtml HTTP/1.1" 500 2978
0:0:0:0:0:0:0:1 - - [18/Jun/2023:22:46:45 -0300] "GET /Farmacia/faces/pages/menu.xhtml HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [18/Jun/2023:22:57:21 -0300] "GET /Farmacia/faces/pages/principal.xhtml HTTP/1.1" 500 3404
0:0:0:0:0:0:0:1 - - [18/Jun/2023:23:06:58 -0300] "GET /Farmacia/faces/templates/modeloSistema.xhtml HTTP/1.1" 200 2107
0:0:0:0:0:0:0:1 - - [18/Jun/2023:23:06:58 -0300] "GET /Farmacia/faces/javax.faces.resource/estilos.css?ln=css HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [18/Jun/2023:23:06:58 -0300] "GET /Farmacia/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=4.0 HTTP/1.1" 200 105493
0:0:0:0:0:0:0:1 - - [18/Jun/2023:23:06:58 -0300] "GET /Farmacia/faces/javax.faces.resource/theme.css?ln=primefaces-aristo HTTP/1.1" 200 28107
0:0:0:0:0:0:0:1 - - [18/Jun/2023:23:06:58 -0300] "GET /Farmacia/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=4.0 HTTP/1.1" 200 220747
0:0:0:0:0:0:0:1 - - [18/Jun/2023:23:06:58 -0300] "GET /Farmacia/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=4.0 HTTP/1.1" 200 277201
0:0:0:0:0:0:0:1 - - [18/Jun/2023:23:06:58 -0300] "GET /Farmacia/faces/javax.faces.resource/layout/layout.css?ln=primefaces&v=4.0 HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [18/Jun/2023:23:06:58 -0300] "GET /Farmacia/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=4.0 HTTP/1.1" 200 53386
0:0:0:0:0:0:0:1 - - [18/Jun/2023:23:06:58 -0300] "GET /Farmacia/faces/javax.faces.resource/layout/layout.js?ln=primefaces&v=4.0 HTTP/1.1" 200 87653
0:0:0:0:0:0:0:1 - - [18/Jun/2023:23:06:58 -0300] "GET /Farmacia/faces/templates/RES_NOT_FOUND HTTP/1.1" 500 2788
